date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,0-Min,Min-10%,10%-30%,Stats. Shading,70%-90%,90%-Max,Median (POR)
10-23,36.0749158255,58.4002352122,42.0821356769,56.1382194379,64.7547861239,44.7088502647,52.8127857281,70.6348102111,51.0965091948,42.0702778176,46.3815447896,27.1924067268,63.1280679275,43.874557872,27.1924067268,37.2739882239,43.6581644296,57.0430257476,64.4294424846,70.6348102111,51.0965091948
10-24,36.3237159147,58.9486274351,41.6746884979,55.7759481169,64.3043592851,46.8967088537,52.7261739523,70.4492393664,51.3427424307,42.5581448333,46.3324947158,28.449418029,63.7686892956,43.6683406775,28.449418029,37.3939104314,44.8227547628,57.0450198442,64.1972252872,70.4492393664,51.3427424307
10-25,36.1877145554,57.854669372,41.6697168699,56.2710140739,64.4965860882,48.2304551777,52.3525870237,70.5614686024,53.634836524,43.0833730049,46.1491327086,28.1465344397,63.5132703048,43.2402774999,28.1465344397,37.2841150183,44.9228288271,56.9044761931,64.2999229315,70.5614686024,52.3525870237
10-26,35.9097930227,58.0545101857,41.2864237084,56.1652592775,63.535526649,49.9499299571,51.7785563357,69.3248332798,52.7962477799,42.8536746591,46.1224210575,28.0913973687,63.8676919296,42.0948636715,28.0913973687,36.9851191599,44.8149224982,56.9209596408,63.8012588735,69.3248332798,51.7785563357
10-27,36.0604235279,57.7358842958,41.383067576,55.9474866876,63.0250426067,49.5156963637,51.9335957674,69.9591516461,52.8203678506,43.336546466,45.7732887638,34.1501317671,64.0798433445,42.4505784616,34.1501317671,37.1249523375,44.7985918447,56.6628457309,63.868883197,69.9591516461,51.9335957674
10-28,36.7921542021,57.8600753457,41.0860313825,55.7932589286,62.6795308514,50.8919918901,51.317107827,69.5882040988,51.6669584511,43.05656275,45.8559895549,33.7910710188,64.2419407318,43.1973945162,33.7910710188,37.6509296382,44.736218833,56.6199854955,63.9294587557,69.5882040988,51.317107827
10-29,36.7423697662,57.925806981,40.5146414771,55.8556523883,68.2708349208,50.8901380421,51.5365317946,69.5216142615,50.5227428961,42.5281814445,46.1709449643,28.4832724896,64.313869515,43.465071846,28.4832724896,37.4968241084,44.7138395563,56.6837142254,67.4794418396,69.5216142615,50.8901380421
10-30,36.6796193732,57.4991486373,40.9958052906,55.3908293928,67.9171776418,51.9859770629,51.0642791588,68.579703746,50.5004022931,43.423146979,46.0786518729,28.1815468251,64.3201548369,43.5436002568,28.1815468251,37.5428565567,45.0164499153,56.2341570906,67.1977730808,68.579703746,51.0642791588
10-31,40.8243776401,58.2965176836,41.6775075603,55.3436095755,67.5659137829,52.0861033511,51.3580258732,68.9943654586,49.3668383315,42.7184030283,51.7731367456,28.265943965,64.5343620083,43.1136700776,28.265943965,40.9950036241,46.7074642102,56.5247728188,66.959603428,68.9943654586,51.7731367456
11-01,40.8113160625,60.0055475699,41.2433831093,55.1529550237,67.0395500905,51.7315154815,50.6168740936,68.6183695858,49.0397815367,42.8576247316,52.7020863536,28.9358255153,64.4008543867,43.0841131508,28.9358255153,40.8977294719,46.5669188147,57.0939920422,66.5118109498,68.6183695858,51.7315154815
